"state","name","district","chamber"
"US","President",,
"WA","State House of Representatives",,"lower"
"WA","State House of Representatives 1",,"lower"
"WA","State House of Representatives 2",,"lower"
"WA","State House of Representatives 1","1","lower"
"WA","State House of Representatives 2","1","lower"
"WA","State House of Representatives 1","2","lower"
"WA","State House of Representatives 2","2","lower"
"WA","State House of Representatives 1","3","lower"
"WA","State House of Representatives 2","3","lower"
"WA","State House of Representatives 1","4","lower"
"WA","State House of Representatives 2","4","lower"
"WA","State House of Representatives 1","5","lower"
"WA","State House of Representatives 2","5","lower"
"WA","State House of Representatives 1","6","lower"
"WA","State House of Representatives 2","6","lower"
"WA","State House of Representatives 1","7","lower"
"WA","State House of Representatives 2","7","lower"
"WA","State House of Representatives 1","8","lower"
"WA","State House of Representatives 2","8","lower"
"WA","State House of Representatives 1","9","lower"
"WA","State House of Representatives 2","9","lower"
"WA","State House of Representatives 1","10","lower"
"WA","State House of Representatives 2","10","lower"
"WA","State House of Representatives 1","11","lower"
"WA","State House of Representatives 2","11","lower"
"WA","State House of Representatives 1","12","lower"
"WA","State House of Representatives 2","12","lower"
"WA","State House of Representatives 1","13","lower"
"WA","State House of Representatives 2","13","lower"
"WA","State House of Representatives 1","14","lower"
"WA","State House of Representatives 2","14","lower"
"WA","State House of Representatives 1","15","lower"
"WA","State House of Representatives 2","15","lower"
"WA","State House of Representatives 1","16","lower"
"WA","State House of Representatives 2","16","lower"
"WA","State House of Representatives 1","17","lower"
"WA","State House of Representatives 2","17","lower"
"WA","State House of Representatives 1","18","lower"
"WA","State House of Representatives 2","18","lower"
"WA","State House of Representatives 1","19","lower"
"WA","State House of Representatives 2","19","lower"
"WA","State House of Representatives 1","20","lower"
"WA","State House of Representatives 2","20","lower"
"WA","State House of Representatives 1","21","lower"
"WA","State House of Representatives 2","21","lower"
"WA","State House of Representatives 1","22","lower"
"WA","State House of Representatives 2","22","lower"
"WA","State House of Representatives 1","23","lower"
"WA","State House of Representatives 2","23","lower"
"WA","State House of Representatives 1","24","lower"
"WA","State House of Representatives 2","24","lower"
"WA","State House of Representatives 1","25","lower"
"WA","State House of Representatives 2","25","lower"
"WA","State House of Representatives 1","26","lower"
"WA","State House of Representatives 2","26","lower"
"WA","State House of Representatives 1","27","lower"
"WA","State House of Representatives 2","27","lower"
"WA","State House of Representatives 1","28","lower"
"WA","State House of Representatives 2","28","lower"
"WA","State House of Representatives 1","29","lower"
"WA","State House of Representatives 2","29","lower"
"WA","State House of Representatives 1","30","lower"
"WA","State House of Representatives 2","30","lower"
"WA","State House of Representatives 1","31","lower"
"WA","State House of Representatives 2","31","lower"
"WA","State House of Representatives 1","32","lower"
"WA","State House of Representatives 2","32","lower"
"WA","State House of Representatives 1","33","lower"
"WA","State House of Representatives 2","33","lower"
"WA","State House of Representatives 1","34","lower"
"WA","State House of Representatives 2","34","lower"
"WA","State House of Representatives 1","35","lower"
"WA","State House of Representatives 2","35","lower"
"WA","State House of Representatives 1","36","lower"
"WA","State House of Representatives 2","36","lower"
"WA","State House of Representatives 1","37","lower"
"WA","State House of Representatives 2","37","lower"
"WA","State House of Representatives 1","38","lower"
"WA","State House of Representatives 2","38","lower"
"WA","State House of Representatives 1","39","lower"
"WA","State House of Representatives 2","39","lower"
"WA","State House of Representatives 1","40","lower"
"WA","State House of Representatives 2","40","lower"
"WA","State House of Representatives 1","41","lower"
"WA","State House of Representatives 2","41","lower"
"WA","State House of Representatives 1","42","lower"
"WA","State House of Representatives 2","42","lower"
"WA","State House of Representatives 1","43","lower"
"WA","State House of Representatives 2","43","lower"
"WA","State House of Representatives 1","44","lower"
"WA","State House of Representatives 2","44","lower"
"WA","State House of Representatives 1","45","lower"
"WA","State House of Representatives 2","45","lower"
"WA","State House of Representatives 1","46","lower"
"WA","State House of Representatives 2","46","lower"
"WA","State House of Representatives 1","47","lower"
"WA","State House of Representatives 2","47","lower"
"WA","State House of Representatives 1","48","lower"
"WA","State House of Representatives 2","48","lower"
"WA","State House of Representatives 1","49","lower"
"WA","State House of Representatives 2","49","lower"
"WA","State Senate",,"upper"
"WA","State Senate",1,"upper"
"WA","State Senate",2,"upper"
"WA","State Senate",3,"upper"
"WA","State Senate",4,"upper"
"WA","State Senate",5,"upper"
"WA","State Senate",6,"upper"
"WA","State Senate",7,"upper"
"WA","State Senate",8,"upper"
"WA","State Senate",9,"upper"
"WA","State Senate",10,"upper"
"WA","State Senate",11,"upper"
"WA","State Senate",12,"upper"
"WA","State Senate",13,"upper"
"WA","State Senate",14,"upper"
"WA","State Senate",15,"upper"
"WA","State Senate",16,"upper"
"WA","State Senate",17,"upper"
"WA","State Senate",18,"upper"
"WA","State Senate",19,"upper"
"WA","State Senate",20,"upper"
"WA","State Senate",21,"upper"
"WA","State Senate",22,"upper"
"WA","State Senate",23,"upper"
"WA","State Senate",24,"upper"
"WA","State Senate",25,"upper"
"WA","State Senate",26,"upper"
"WA","State Senate",27,"upper"
"WA","State Senate",28,"upper"
"WA","State Senate",29,"upper"
"WA","State Senate",30,"upper"
"WA","State Senate",31,"upper"
"WA","State Senate",32,"upper"
"WA","State Senate",33,"upper"
"WA","State Senate",34,"upper"
"WA","State Senate",35,"upper"
"WA","State Senate",36,"upper"
"WA","State Senate",37,"upper"
"WA","State Senate",38,"upper"
"WA","State Senate",39,"upper"
"WA","State Senate",40,"upper"
"WA","State Senate",41,"upper"
"WA","State Senate",42,"upper"
"WA","State Senate",43,"upper"
"WA","State Senate",44,"upper"
"WA","State Senate",45,"upper"
"WA","State Senate",46,"upper"
"WA","State Senate",47,"upper"
"WA","State Senate",48,"upper"
"WA","State Senate",49,"upper"
"WA","U.S. House of Representatives",,"lower"
"WA","U.S. House of Representatives",1,"lower"
"WA","U.S. House of Representatives",2,"lower"
"WA","U.S. House of Representatives",3,"lower"
"WA","U.S. House of Representatives",4,"lower"
"WA","U.S. House of Representatives",5,"lower"
"WA","U.S. House of Representatives",6,"lower"
"WA","U.S. House of Representatives",7,"lower"
"WA","U.S. House of Representatives",8,"lower"
"WA","U.S. House of Representatives",9,"lower"
"WA","U.S. House of Representatives",10,"lower"
