"name","state_name","abbrev","fec_abbrev","state_abbrev","state","description"
"Democrat",,"D","D",,"US",
"Republican",,"R","R",,"US",
"Constitution",,"CON","CON",,"US",
"Green",,"GRE","GRE",,"US",
"Libertarian",,"LIB","LIB",,"US",
"Reform",,"REF","REF",,"US",
"Nonpartisan",,"UN","UN",,"WA",
"Independent",,"I","I",,"WA",
"Tea Party",,"TP","TP",,"WA",
"Libertarian Party",,"LIB","LIB",,"WA",
"Socialist Party",,"SOC","SOC",,"WA",
"Reform Party",,"REF","REF",,"WA",
"Et cetera Party",,"UK","UK",,"WA",
